"surgery" "Age" "rectal_temperature" "pulse" "respiratory_rate" "temp_extremities" "peripheral_pulse" "mucous_membranes" "capillary_refill_time" "pain" "peristalsis" "abdominal_distension" "nasogastric_tube" "nasogastric_reflux" "nasogastric_reflux_PH" "rectal_examination" "abdomen" "packed_cell_volume" "total_protein" "abdominocentesis_appearance" "abdomcentesis_total_protein" "outcome" "surgical_lesion"
"yes" "adult" 38.6 42 34 "warm" "normal" "pale_cyanotic" NA "depressed" "hypomotile" "none" NA NA NA "normal" NA 48 7.2 NA NA "lived" "yes"
"yes" "young" 38.3 130 60 NA "reduced" NA "<3" "depressed" "absent" NA NA NA NA NA NA 50 70 NA NA "lived" "yes"
"yes" "adult" 38.1 60 12 "cool" "reduced" "pale_pink" "<3" NA "absent" "moderate" "significant" ">1l" 2 NA NA 51 65 NA NA "lived" "yes"
"no" "adult" 37.8 60 42 NA NA NA "<3" NA NA NA NA NA NA NA NA NA NA NA NA "lived" "no"
"yes" "adult" 38.3 72 30 "cold" "reduced" "pale_pink" ">=3" "intermittent_mild_pain" "hypomotile" "moderate" "slight" "none" NA "decreased" "distended_large_intestine" 43 7 "cloudy" 3.9 "lived" "yes"
"yes" "adult" 37.8 48 12 "cool" "normal" "normal_pink" "<3" NA "hypomotile" "slight" "none" "none" NA "normal" "firm_feces_in_large_intestine" 37 5.5 "cloudy" 1.3 "lived" "no"
"yes" "adult" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "died" "no"
"no" "adult" 37.7 48 NA "warm" "normal" "normal_pink" "<3" "alert_no_pain" "hypermotile" "none" "none" "none" NA NA NA 45 76 NA NA "lived" "no"
"no" "adult" 37.7 96 30 "cool" "reduced" "pale_cyanotic" ">=3" "continuous_severe_pain" "absent" "severe" "significant" ">1l" 4 "absent" "distended_large_intestine" 66 7.5 NA NA "died" "yes"
"no" "adult" 37.2 108 12 "cool" "reduced" "pale_cyanotic" ">=3" "depressed" "absent" "slight" NA "<1l" 6 "decreased" "firm_feces_in_large_intestine" 52 8.2 "serosanguinous" 7.4 "euthanized" "yes"
"yes" "adult" 37.2 60 NA "warm" "normal" "normal_pink" "<3" "intermittent_mild_pain" "hypomotile" "moderate" "slight" "none" NA "absent" "distended_large_intestine" 43 6.6 NA NA "lived" "yes"
"yes" "adult" 38.2 64 28 "normal" "normal" "normal_pink" "<3" "intermittent_mild_pain" "hypermotile" NA NA NA NA "absent" "distended_small_intestine" 49 8.6 "cloudy" 6.6 "lived" "yes"
"yes" "adult" NA 100 30 "cool" "reduced" "pale_cyanotic" ">=3" "continuous_severe_pain" "absent" "severe" "significant" "<1l" NA "absent" "distended_small_intestine" 52 6.6 NA NA "lived" "yes"
"no" "adult" NA 104 24 "cold" "reduced" "pale_pink" ">=3" "intermittent_severe_pain" "absent" "moderate" NA "<1l" NA NA "other" 73 8.4 NA NA "euthanized" "yes"
"no" "adult" 38.3 112 16 NA "reduced" "bright_red" ">=3" NA NA "none" "none" ">1l" NA NA "distended_large_intestine" 51 6 "cloudy" 1 "euthanized" "no"
"yes" "adult" 37.8 72 NA NA "reduced" NA "<3" "continuous_severe_pain" "hypomotile" "none" NA "none" NA "normal" "normal" 56 80 "clear" 2 "lived" "yes"
"no" "adult" 38.6 52 NA "normal" "normal" "normal_pink" "<3" "intermittent_mild_pain" "hypomotile" "slight" "none" "none" NA "normal" "firm_feces_in_large_intestine" 32 6.6 "clear" 5 "lived" "no"
"yes" "young" 39.2 146 96 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "died" "yes"
"yes" "adult" NA 88 NA "cool" "reduced" "dark_cyanotic" ">=3" "continuous_severe_pain" "hypomotile" "moderate" "none" "<1l" NA "absent" "distended_large_intestine" 63 6.5 "serosanguinous" NA "died" "yes"
"no" "young" 39 150 72 NA NA NA NA NA NA NA NA NA NA NA NA 47 8.5 NA 0.1 "lived" "yes"
"no" "adult" 38 60 12 "cool" "normal" "pale_pink" "<3" "intermittent_mild_pain" "hypomotile" "none" "none" "none" NA "increased" "other" 47 7 NA NA "lived" "no"
"yes" "adult" NA 120 NA "cool" "absent" "pale_cyanotic" "<3" "intermittent_severe_pain" "absent" "severe" "none" "none" NA NA "distended_large_intestine" 52 67 "cloudy" 2 "euthanized" "yes"
"yes" "adult" 35.4 140 24 "cool" "reduced" "pale_cyanotic" ">=3" "intermittent_severe_pain" "absent" NA "slight" "none" NA NA "distended_large_intestine" 57 69 "serosanguinous" 2 "euthanized" "yes"
"no" "adult" NA 120 NA "cold" "reduced" "pale_cyanotic" ">=3" "continuous_severe_pain" "absent" "severe" "none" "none" NA "absent" "distended_large_intestine" 60 6.5 "serosanguinous" NA "died" "yes"
"yes" "adult" 37.9 60 15 "cool" NA "pale_cyanotic" ">=3" "continuous_severe_pain" "absent" "severe" "slight" ">1l" NA "absent" "distended_large_intestine" 65 7.5 NA NA "lived" "yes"
"no" "adult" 37.5 48 16 "normal" "normal" "normal_pink" "<3" "alert_no_pain" "hypermotile" "none" "none" "none" NA "normal" NA 37 6.5 NA NA "lived" "no"
"yes" "adult" 38.9 80 44 "cool" "reduced" "pale_pink" ">=3" "depressed" "hypomotile" "moderate" "slight" ">1l" 7 "decreased" "normal" 54 6.5 "serosanguinous" NA "died" "yes"
"no" "adult" 37.2 84 48 "cool" "reduced" "bright_red" ">=3" "intermittent_severe_pain" "hypermotile" "slight" "none" ">1l" NA "increased" "normal" 73 5.5 "cloudy" 4.1 "died" "no"
"no" "adult" 38.6 46 NA "normal" "normal" "bright_pink" "<3" "alert_no_pain" "hypomotile" "slight" "none" "none" NA NA "other" 49 9.1 "clear" 1.6 "lived" "no"
"yes" "adult" 37.4 84 36 "normal" NA "pale_pink" ">=3" "intermittent_mild_pain" "hypomotile" "slight" NA NA NA "absent" "distended_large_intestine" NA NA "serosanguinous" NA "died" "yes"
"no" "adult" NA NA NA "normal" "normal" "pale_pink" "<3" "alert_no_pain" "hypomotile" "none" NA NA NA "increased" "other" 43 7.7 NA NA "lived" "no"
"no" "adult" 38.6 40 20 NA NA NA "<3" NA NA NA NA NA NA NA NA 41 6.4 NA NA "lived" "no"
"no" "adult" 40.3 114 36 "cool" "reduced" "normal_pink" ">=3" "depressed" "hypomotile" "moderate" "slight" "none" 7 "normal" "distended_large_intestine" 57 8.1 "serosanguinous" 4.5 "euthanized" "yes"
"yes" "young" 38.6 160 20 "cool" NA "bright_red" "<3" "intermittent_mild_pain" "hypomotile" "severe" "significant" NA NA "absent" NA 38 NA "cloudy" NA "died" "yes"
"yes" "adult" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 24 6.7 NA NA "lived" "yes"
"yes" "adult" NA 64 36 "warm" NA "bright_pink" "<3" "continuous_severe_pain" "hypomotile" "moderate" "slight" ">1l" NA NA NA 42 7.7 NA NA "died" "yes"
"yes" "adult" NA NA 20 "cold" "reduced" "pale_pink" NA "continuous_severe_pain" "absent" "moderate" "slight" NA NA "absent" "distended_small_intestine" 53 5.9 "serosanguinous" NA "died" "yes"
"no" "adult" NA 96 NA "cool" "reduced" "pale_pink" ">=3" "continuous_severe_pain" "absent" "severe" "none" ">1l" NA "absent" "distended_large_intestine" 60 NA NA NA "died" "yes"
"no" "adult" 37.8 48 32 "normal" "normal" "pale_pink" "<3" "depressed" "hypermotile" NA "none" "none" NA "absent" "distended_large_intestine" 37 6.7 NA NA "lived" "no"
"no" "adult" 38.5 60 NA "warm" "increased" "normal_pink" "<3" "alert_no_pain" "normal" "slight" "slight" "none" NA "normal" "normal" 44 7.7 NA NA "lived" "no"
"yes" "adult" 37.8 88 22 "warm" "normal" "bright_pink" "<3" "intermittent_mild_pain" NA NA "slight" NA NA "absent" NA 64 8 "clear" 6 "died" "yes"
"no" "adult" 38.2 130 16 "cold" "reduced" "pale_cyanotic" ">=3" "depressed" "absent" "severe" "none" "none" NA NA NA 65 82 "cloudy" 2 "euthanized" "no"
"yes" "adult" 39 64 36 "cool" "normal" "pale_cyanotic" ">=3" "intermittent_mild_pain" "hypomotile" "slight" "none" ">1l" 7 "absent" "distended_large_intestine" 44 7.5 "serosanguinous" 5 "lived" "yes"
"yes" "adult" NA 60 36 "cool" "normal" "pale_pink" "<3" "intermittent_mild_pain" "hypomotile" "slight" "none" "none" NA "decreased" "distended_small_intestine" 26 72 "cloudy" 1 "lived" "yes"
"no" "adult" 37.9 72 NA "normal" "normal" "bright_red" ">=3" "intermittent_mild_pain" "hypomotile" "none" "none" "<1l" 2 "decreased" "distended_small_intestine" 58 74 "clear" 2 "lived" "yes"
"no" "adult" 38.4 54 24 "normal" "normal" "normal_pink" "<3" "alert_no_pain" "hypomotile" "none" "slight" "none" NA "decreased" "other" 49 7.2 "clear" NA "lived" "no"
"no" "adult" NA 52 16 "normal" NA "pale_pink" "<3" NA NA NA "slight" "<1l" 5.5 NA NA 55 7.2 NA NA "lived" "no"
"no" "adult" 38 48 12 "normal" "normal" "normal_pink" "<3" "alert_no_pain" "hypomotile" NA "none" "none" NA "decreased" "other" 42 6.3 "cloudy" 4.1 "lived" "no"
"no" "adult" 37 60 20 "cool" NA NA "<3" "intermittent_mild_pain" NA "moderate" "slight" ">1l" 4.5 "absent" "distended_small_intestine" 43 7.6 NA NA "euthanized" "yes"
"yes" "adult" 37.8 48 28 "normal" "normal" "normal_pink" "<3" "alert_no_pain" "normal" "none" "slight" NA NA "normal" "normal" 46 5.9 "cloudy" 7 "lived" "no"
"yes" "adult" 37.7 56 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "died" "yes"
"yes" "adult" 38.1 52 24 "normal" "normal" "bright_red" "<3" "intermittent_severe_pain" "hypomotile" "none" "slight" "<1l" 7 "normal" NA 54 7.5 "cloudy" 2.6 "died" "yes"
"yes" "young" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 37 4.9 NA NA "died" "yes"
"yes" "young" 39.7 100 NA "cool" "reduced" "bright_red" ">=3" "depressed" "hypomotile" NA NA NA NA NA NA 48 57 "cloudy" 2 "euthanized" "yes"
"yes" "adult" 37.6 38 20 "cool" "reduced" "normal_pink" "<3" "intermittent_mild_pain" "hypomotile" "slight" NA NA NA "decreased" NA 37 68 NA NA "lived" "yes"
"no" "adult" 38.7 52 20 "warm" NA "normal_pink" "<3" "alert_no_pain" "hypermotile" "none" "none" "none" NA "normal" "normal" 33 77 NA NA "lived" "no"
"yes" "adult" NA NA NA "cool" "reduced" "pale_pink" "meaning_unknown" "continuous_severe_pain" "hypomotile" "moderate" "significant" ">1l" NA "absent" "distended_large_intestine" 46 5.9 NA NA "died" "yes"
"yes" "adult" 37.5 96 18 "normal" "reduced" "dark_cyanotic" ">=3" "intermittent_mild_pain" "absent" "slight" "slight" "<1l" 5 NA "distended_small_intestine" 69 8.9 "serosanguinous" NA "lived" "yes"
"yes" "adult" 36.4 98 35 "cool" "reduced" "pale_cyanotic" "<3" "intermittent_severe_pain" "hypomotile" "slight" NA NA NA "absent" "distended_small_intestine" 47 6.4 "serosanguinous" 3.6 "died" "yes"
"yes" "adult" 37.3 40 NA NA "reduced" "normal_pink" "<3" "depressed" "hypomotile" "slight" "significant" "none" NA "decreased" "distended_large_intestine" 36 NA "serosanguinous" 2 "lived" "yes"
"yes" "young" 38.1 100 80 "cool" "normal" "bright_pink" "<3" "intermittent_mild_pain" "absent" "none" NA NA NA "normal" NA 36 5.7 NA NA "lived" "yes"
"yes" "adult" 38 NA 24 "cool" "reduced" "dark_cyanotic" ">=3" "continuous_severe_pain" NA "severe" "none" "none" NA NA NA 68 7.8 NA NA "died" "yes"
"yes" "adult" 37.8 60 80 "normal" "reduced" "bright_pink" ">=3" "depressed" "hypomotile" "moderate" NA ">1l" 5.5 "absent" NA 40 4.5 "cloudy" NA "lived" "yes"
"no" "adult" 38 54 30 "warm" "reduced" "pale_pink" "meaning_unknown" "intermittent_mild_pain" "hypermotile" "slight" "slight" ">1l" NA NA "distended_small_intestine" 45 6.2 NA NA "lived" "no"
"yes" "adult" NA 88 40 "cool" "reduced" "pale_cyanotic" ">=3" "continuous_severe_pain" "absent" "moderate" "significant" NA NA "absent" "distended_large_intestine" 50 7.7 "serosanguinous" 1.4 "died" "yes"
"no" "adult" NA 40 16 NA NA NA "<3" NA NA NA NA NA NA NA NA 50 7 "cloudy" 3.9 "euthanized" "yes"
"no" "adult" 39 64 40 "normal" "normal" "bright_red" "<3" "intermittent_mild_pain" "hypomotile" "slight" "slight" "none" NA "decreased" "firm_feces_in_large_intestine" 42 7.5 "cloudy" 2.3 "lived" "no"
"no" "adult" 38.3 42 10 "normal" "normal" "normal_pink" "<3" "alert_no_pain" "hypermotile" "none" NA NA NA NA NA 38 61 NA NA "lived" "no"
"no" "adult" 38 52 16 NA NA NA NA "depressed" NA NA NA "<1l" 1 "normal" "normal" 53 86 NA NA "lived" "yes"
"no" "adult" 40.3 114 36 "cool" "reduced" "normal_pink" ">=3" "depressed" "hypomotile" "moderate" "slight" "none" 7 "normal" "distended_large_intestine" 57 8.1 "serosanguinous" 4.5 "died" "yes"
"no" "adult" 38.8 50 20 "cool" "normal" "normal_pink" "<3" "alert_no_pain" "hypermotile" "none" "slight" "none" NA "decreased" "normal" 42 6.2 NA NA "lived" "no"
"no" "adult" NA NA NA "cool" "reduced" "normal_pink" "<3" "continuous_severe_pain" "hypomotile" "moderate" "none" "none" NA "absent" "distended_large_intestine" 38 6.5 NA NA "died" "yes"
"no" "adult" 37.5 48 30 "cold" "normal" "pale_pink" "<3" NA "normal" "none" "none" "none" NA "normal" "normal" 48 8.6 NA NA "lived" "no"
"yes" "adult" 37.3 48 20 NA "normal" "bright_pink" "<3" "intermittent_mild_pain" "hypomotile" "moderate" "slight" "none" NA "decreased" "distended_large_intestine" 41 69 NA NA "lived" "yes"
"no" "adult" NA 84 36 NA NA "pale_pink" "<3" NA "hypomotile" "none" "slight" "none" NA "decreased" "other" 44 8.5 NA NA "lived" "yes"
"yes" "adult" 38.1 88 32 "cool" "reduced" "pale_cyanotic" "<3" "depressed" "hypomotile" "moderate" NA "<1l" 1 "absent" "distended_large_intestine" 55 60 NA NA "euthanized" "no"
"no" "adult" 37.7 44 40 "warm" "normal" "pale_pink" "<3" "alert_no_pain" "hypomotile" "slight" "none" "none" NA "normal" "distended_large_intestine" 41 60 NA NA "lived" "no"
"no" "adult" 39.6 108 51 "cool" "reduced" "dark_cyanotic" ">=3" "depressed" "absent" "moderate" "none" ">1l" NA "decreased" "distended_large_intestine" 59 8 "cloudy" 2.6 "lived" "no"
"yes" "adult" 38.2 40 16 "cool" "reduced" "normal_pink" "<3" "alert_no_pain" "hypomotile" NA NA NA NA "normal" "normal" 34 66 NA NA "lived" "no"
"yes" "adult" NA 60 20 "cold" "reduced" "pale_cyanotic" ">=3" "continuous_severe_pain" "absent" NA NA "none" NA "absent" "distended_large_intestine" NA NA NA NA "euthanized" "yes"
"no" "adult" 38.3 40 16 "cool" NA "normal_pink" "<3" "depressed" NA NA NA NA NA NA NA 37 57 NA NA "lived" "no"
"yes" "young" 38 140 68 "normal" "normal" "normal_pink" "<3" "intermittent_mild_pain" "hypomotile" "slight" NA NA NA "increased" "normal" 39 5.3 NA NA "lived" "yes"
"yes" "adult" 37.8 52 24 "normal" "reduced" "pale_pink" "<3" "intermittent_severe_pain" "absent" "none" "slight" "<1l" 5.7 "increased" "distended_large_intestine" 48 6.6 "clear" 3.7 "died" "yes"
"yes" "adult" NA 70 36 "normal" NA "pale_pink" ">=3" "depressed" "hypomotile" "slight" "slight" NA NA "absent" "distended_large_intestine" 36 7.3 NA NA "lived" "yes"
"yes" "adult" 38.3 52 96 NA "reduced" "pale_pink" "<3" NA NA NA "none" "none" NA "normal" NA 43 6.1 NA NA "lived" "yes"
"no" "adult" 37.3 50 32 "normal" "normal" "pale_pink" "<3" "alert_no_pain" "hypomotile" "slight" NA NA NA "normal" NA 44 7 NA NA "lived" "no"
"yes" "adult" 38.7 60 32 "cold" "reduced" "bright_pink" ">=3" "intermittent_severe_pain" "absent" "severe" NA NA NA "absent" "distended_large_intestine" 53 64 "serosanguinous" 2 "euthanized" "yes"
"yes" "young" 38.4 84 40 "cool" "reduced" "bright_pink" "<3" "intermittent_mild_pain" "hypomotile" "moderate" "none" "none" NA NA NA 36 6.6 "cloudy" 2.8 "died" "yes"
"yes" "adult" NA 70 16 "cool" "absent" "bright_red" ">=3" "depressed" "hypomotile" "slight" "slight" "none" NA "absent" "distended_large_intestine" 60 7.5 NA NA "died" "yes"
"yes" "adult" 38.3 40 16 "cool" NA NA "<3" "alert_no_pain" "hypomotile" "slight" NA NA NA NA NA 38 58 "clear" 2 "lived" "yes"
"yes" "adult" NA 40 NA "warm" "normal" "normal_pink" "<3" "alert_no_pain" "hypomotile" "none" "none" "none" NA NA "distended_large_intestine" 39 56 NA NA "lived" "yes"
"yes" "adult" 36.8 60 28 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 10 "died" "yes"
"yes" "adult" 38.4 44 24 "cool" NA "pale_cyanotic" NA "continuous_severe_pain" "absent" "moderate" "slight" "none" NA "absent" "distended_large_intestine" 50 77 NA NA "lived" "yes"
"no" "adult" NA NA 40 "cool" "normal" "normal_pink" "<3" "intermittent_mild_pain" "hypomotile" "slight" NA NA NA NA NA 45 70 NA NA "lived" "no"
"yes" "adult" 38 44 12 "normal" "normal" "normal_pink" "<3" "intermittent_mild_pain" "hypomotile" "moderate" "slight" "none" NA "absent" "distended_large_intestine" 42 65 NA NA "lived" "yes"
"no" "adult" 39.5 NA NA "cool" "reduced" "pale_cyanotic" ">=3" "intermittent_mild_pain" "absent" "moderate" NA "<1l" 5.5 "absent" "distended_large_intestine" NA 6.7 "clear" NA "euthanized" "yes"
"yes" "adult" 36.5 78 30 "normal" NA "normal_pink" "<3" "continuous_severe_pain" "hypomotile" "none" NA "none" NA NA NA 34 75 "cloudy" 1 "lived" "yes"
"no" "adult" 38.1 56 20 "warm" "normal" "bright_pink" "<3" "alert_no_pain" "hypomotile" "none" "none" "none" NA NA NA 46 70 NA NA "lived" "no"
"yes" "adult" 39.4 54 66 "normal" "normal" "bright_pink" "<3" "depressed" "hypomotile" "slight" "none" "none" NA "decreased" "distended_small_intestine" 39 6 "cloudy" NA "lived" "yes"
"yes" "adult" 38.3 80 40 NA NA "dark_cyanotic" ">=3" "intermittent_severe_pain" "hypomotile" "none" NA ">1l" NA "normal" "distended_small_intestine" 67 10.2 "cloudy" 1 "euthanized" "yes"
"no" "adult" 38.7 40 28 "warm" "normal" "normal_pink" "<3" "intermittent_mild_pain" "hypermotile" "none" NA NA NA "normal" NA 39 62 "clear" 1 "lived" "no"
"yes" "adult" 38.2 64 24 "normal" "normal" "pale_pink" "<3" "intermittent_severe_pain" "absent" "moderate" "slight" "none" NA "absent" "distended_small_intestine" 45 7.5 "clear" 2 "died" "yes"
"no" "adult" 37.6 48 20 "cool" "normal" "pale_cyanotic" "<3" "alert_no_pain" "hypermotile" "moderate" "slight" "none" NA "normal" "normal" 37 5.5 NA NA "euthanized" "yes"
"yes" "adult" 38 42 68 "cold" "normal" "normal_pink" "<3" "intermittent_mild_pain" "hypomotile" "slight" "slight" ">1l" NA "absent" "distended_small_intestine" 41 7.6 NA NA "lived" "yes"
"yes" "adult" 38.7 NA NA "cool" "normal" "pale_pink" "<3" "continuous_severe_pain" "absent" "slight" NA NA NA NA NA 33 6.5 "cloudy" NA "lived" "yes"
"yes" "adult" 37.4 50 32 "cool" "reduced" NA "<3" "intermittent_severe_pain" "absent" "none" "slight" "none" NA "normal" NA 45 7.9 "cloudy" 1 "lived" "yes"
"yes" "adult" 37.4 84 20 NA NA "pale_pink" "<3" "depressed" "hypomotile" "moderate" NA NA NA NA NA 31 61 NA 1 "euthanized" "no"
"yes" "adult" 38.4 49 NA NA NA "normal_pink" "<3" NA NA "none" "slight" "none" NA NA NA 44 7.6 NA NA "lived" "yes"
"yes" "adult" 37.8 30 12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "died" "yes"
"no" "adult" 37.6 88 36 "cool" "normal" "normal_pink" "<3" "intermittent_mild_pain" "hypomotile" "slight" "none" "<1l" 1.5 NA NA 44 6 NA NA "died" "yes"
NA "adult" 38 48 20 "cool" "normal" "pale_pink" "<3" "intermittent_severe_pain" "hypomotile" "none" "slight" "none" NA "decreased" "distended_large_intestine" 43 73 "cloudy" 1 NA "yes"
"no" "adult" 37.9 40 24 "normal" "normal" "normal_pink" "<3" "depressed" "hypomotile" "none" NA NA NA NA "firm_feces_in_large_intestine" 40 5.7 NA NA "lived" "yes"
"yes" "adult" NA 100 NA "cool" NA "pale_cyanotic" ">=3" "continuous_severe_pain" "absent" NA "slight" NA NA "increased" NA 59 6.3 NA NA "died" "yes"
"yes" "young" 38.1 136 48 "cool" "reduced" "pale_pink" "<3" "continuous_severe_pain" "hypermotile" "moderate" "slight" ">1l" 4.4 "increased" NA 33 4.9 "cloudy" 2.9 "died" "yes"
"yes" "adult" NA NA NA "cool" "reduced" "pale_pink" ">=3" "continuous_severe_pain" "hypomotile" "moderate" "significant" ">1l" NA "absent" "distended_large_intestine" 46 5.9 NA NA "died" "yes"
"yes" "adult" 38 48 NA "normal" "normal" "normal_pink" "<3" "alert_no_pain" "normal" "severe" "slight" ">1l" NA "absent" "distended_large_intestine" NA NA NA NA "lived" "yes"
"no" "adult" 38 56 NA "normal" "increased" "pale_pink" "<3" "alert_no_pain" "hypermotile" "none" "none" "none" NA "normal" "normal" 42 71 NA NA "lived" "no"
"no" "adult" 38 60 32 "normal" "normal" NA "<3" "intermittent_mild_pain" "hypomotile" NA "none" "none" NA NA NA 50 7 "clear" 1 "lived" "no"
"yes" "adult" 38.1 44 9 "cool" "normal" "normal_pink" "<3" "depressed" "normal" "none" "none" "none" NA "absent" "distended_large_intestine" 31 7.3 NA NA "lived" "no"
"no" "adult" 36 42 30 NA NA "bright_red" "<3" NA NA NA NA NA NA NA NA 64 6.8 NA NA "died" "no"
"yes" "adult" NA 120 NA "cold" "reduced" "dark_cyanotic" ">=3" "continuous_severe_pain" "absent" "severe" NA NA NA "absent" "distended_large_intestine" 57 4.5 "serosanguinous" 3.9 "died" "yes"
"yes" "adult" 37.8 48 28 "normal" "normal" "normal_pink" ">=3" "alert_no_pain" "normal" "none" "slight" NA NA "normal" "normal" 46 5.9 "cloudy" 7 "lived" "no"
"yes" "adult" 37.1 84 40 "cool" "reduced" "dark_cyanotic" "<3" "depressed" "absent" "severe" "significant" ">1l" 2 "absent" "distended_large_intestine" 75 81 NA NA "euthanized" "no"
"no" "adult" NA 80 32 "cool" "reduced" "bright_pink" "<3" "depressed" "hypomotile" "moderate" "slight" "none" NA "decreased" NA 50 80 NA NA "lived" "yes"
"yes" "adult" 38.2 48 NA "normal" "reduced" "pale_pink" "<3" "intermittent_mild_pain" "absent" "severe" "none" "<1l" 2 "absent" "distended_large_intestine" 42 71 NA NA "lived" "yes"
"no" "adult" 38 44 12 "warm" "normal" "pale_pink" "<3" "intermittent_mild_pain" "absent" "moderate" "none" ">1l" 6.5 "normal" "distended_small_intestine" 33 6.5 NA NA "died" "yes"
"yes" "adult" 38.3 132 NA NA "reduced" "dark_cyanotic" ">=3" "depressed" "absent" "slight" "slight" "<1l" 6.2 "absent" "distended_small_intestine" 57 8 NA 5.2 "lived" "yes"
