"x" "y" "class"
-2.25 2.5 "white"
-2.25 2.75 "white"
-2.25 3 "white"
-2.25 3.25 "white"
-2.25 3.5 "white"
-2.25 3.75 "white"
-2.25 4 "white"
-2.25 4.25 "white"
-2.25 4.5 "white"
-2.25 4.75 "white"
-2.25 5 "black"
-2.25 5.25 "black"
-2.25 5.5 "black"
-2.5 0 "black"
-2.5 0.25 "black"
-2.5 0.5 "black"
-2.5 0.75 "black"
-2.5 1 "black"
-2.5 1.25 "black"
-2.5 1.5 "white"
-2.5 1.75 "white"
-2.5 2 "white"
-2.5 2.25 "white"
-2.5 2.5 "white"
-2.5 2.75 "white"
-2.5 3 "white"
-2.5 3.25 "white"
-2.5 3.5 "white"
-2.5 3.75 "white"
-2.5 4 "white"
-2.5 4.25 "white"
-2.5 4.5 "white"
-2.5 4.75 "black"
-2.5 5 "black"
-2.5 5.25 "black"
-2.75 0 "black"
-2.75 0.25 "black"
-2.75 0.5 "black"
-2.75 0.75 "black"
-2.75 1 "black"
-2.75 1.25 "black"
-2.75 1.5 "black"
-2.75 1.75 "black"
-2.75 2 "white"
-2.75 2.25 "white"
-2.75 2.5 "white"
-2.75 2.75 "white"
-2.75 3 "white"
-2.75 3.25 "white"
-2.75 3.5 "white"
-2.75 3.75 "white"
-2.75 4 "white"
-2.75 4.25 "black"
-2.75 4.5 "black"
-2.75 4.75 "black"
-2.75 5 "black"
-2.75 5.25 "black"
-3 0 "black"
-3 0.25 "black"
-3 0.5 "black"
-3 0.75 "black"
-3 1 "black"
-3 1.25 "black"
-3 1.5 "black"
-3 1.75 "black"
-3 2 "black"
-3 2.25 "black"
-3 2.5 "black"
-3 2.75 "black"
-3 3 "white"
-3 3.25 "black"
-3 3.5 "black"
-3 3.75 "black"
-3 4 "black"
-3 4.25 "black"
-3 4.5 "black"
-3 4.75 "black"
-3 5 "black"
-3.25 0 "black"
-3.25 0.25 "black"
-3.25 0.5 "black"
-3.25 0.75 "black"
-3.25 1 "black"
-3.25 1.25 "black"
-3.25 1.5 "black"
-3.25 1.75 "black"
-3.25 2 "black"
-3.25 2.25 "black"
-3.25 2.5 "black"
-3.25 2.75 "black"
-3.25 3 "black"
-3.25 3.25 "black"
-3.25 3.5 "black"
-3.25 3.75 "black"
-3.25 4 "black"
-3.25 4.25 "black"
-3.25 4.5 "black"
-3.25 4.75 "black"
-3.25 5 "black"
-3.5 0 "black"
-3.5 0.25 "black"
-3.5 0.5 "black"
-3.5 0.75 "black"
-3.5 1 "black"
-3.5 1.25 "black"
-3.5 1.5 "black"
-3.5 1.75 "black"
-3.5 2 "black"
-3.5 2.25 "black"
-3.5 2.5 "black"
-3.5 2.75 "black"
-3.5 3 "black"
-3.5 3.25 "black"
-3.5 3.5 "black"
-3.5 3.75 "black"
-3.5 4 "black"
-3.5 4.25 "black"
-3.5 4.5 "black"
-3.5 4.75 "black"
-3.75 0 "black"
-3.75 0.25 "black"
-3.75 0.5 "black"
-3.75 0.75 "black"
-3.75 1 "black"
-3.75 1.25 "black"
-3.75 1.5 "black"
-3.75 1.75 "black"
-3.75 2 "black"
-3.75 2.25 "black"
-3.75 2.5 "black"
-3.75 2.75 "black"
-3.75 3 "black"
-3.75 3.25 "black"
-3.75 3.5 "black"
-3.75 3.75 "black"
-3.75 4 "black"
-3.75 4.25 "black"
-3.75 4.5 "black"
-4 0 "black"
-4 0.25 "black"
-4 0.5 "black"
-4 0.75 "black"
-4 1 "black"
-4 1.25 "black"
-4 1.5 "black"
-4 1.75 "black"
-4 2 "black"
-4 2.25 "black"
-4 2.5 "black"
-4 2.75 "black"
-4 3 "black"
-4 3.25 "black"
-4 3.5 "black"
-4 3.75 "black"
-4 4 "black"
-4 4.25 "black"
-4.25 0 "black"
-4.25 0.25 "black"
-4.25 0.5 "black"
-4.25 0.75 "black"
-4.25 1 "black"
-4.25 1.25 "black"
-4.25 1.5 "black"
-4.25 1.75 "black"
-4.25 2 "black"
-4.25 2.25 "black"
-4.25 2.5 "black"
-4.25 2.75 "black"
-4.25 3 "black"
-4.25 3.25 "black"
-4.25 3.5 "black"
-4.25 3.75 "black"
-4.25 4 "black"
-4.5 0 "black"
-4.5 0.25 "black"
-4.5 0.5 "black"
-4.5 0.75 "black"
-4.5 1 "black"
-4.5 1.25 "black"
-4.5 1.5 "black"
-4.5 1.75 "black"
-4.5 2 "black"
-4.5 2.25 "black"
-4.5 2.5 "black"
-4.5 2.75 "black"
-4.5 3 "black"
-4.5 3.25 "black"
-4.5 3.5 "black"
-4.5 3.75 "black"
-4.75 0 "black"
-4.75 0.25 "black"
-4.75 0.5 "black"
-4.75 0.75 "black"
-4.75 1 "black"
-4.75 1.25 "black"
-4.75 1.5 "black"
-4.75 1.75 "black"
-4.75 2 "black"
-4.75 2.25 "black"
-4.75 2.5 "black"
-4.75 2.75 "black"
-4.75 3 "black"
-4.75 3.25 "black"
-4.75 3.5 "black"
-5 0 "black"
-5 0.25 "black"
-5 0.5 "black"
-5 0.75 "black"
-5 1 "black"
-5 1.25 "black"
-5 1.5 "black"
-5 1.75 "black"
-5 2 "black"
-5 2.25 "black"
-5 2.5 "black"
-5 2.75 "black"
-5 3 "black"
-5 3.25 "black"
-5.25 0 "black"
-5.25 0.25 "black"
-5.25 0.5 "black"
-5.25 0.75 "black"
-5.25 1 "black"
-5.25 1.25 "black"
-5.25 1.5 "black"
-5.25 1.75 "black"
-5.25 2 "black"
-5.25 2.25 "black"
-5.25 2.5 "black"
-5.25 2.75 "black"
-5.5 0 "black"
-5.5 0.25 "black"
-5.5 0.5 "black"
-5.5 0.75 "black"
-5.5 1 "black"
-5.5 1.25 "black"
-5.5 1.5 "black"
-5.5 1.75 "black"
-5.5 2 "black"
-5.5 2.25 "black"
-5.75 0 "black"
-5.75 0.25 "black"
-5.75 0.5 "black"
-5.75 0.75 "black"
-5.75 1 "black"
-5.75 1.25 "black"
-5.75 1.5 "black"
-6 0 "black"
0 0.25 "white"
0 0.5 "white"
0 0.75 "white"
0 1 "white"
0 1.25 "white"
0 1.5 "white"
0 1.75 "white"
0 2 "black"
0 2.25 "black"
0 2.5 "black"
0 2.75 "black"
0 3 "black"
0 3.25 "black"
0 3.5 "black"
0 3.75 "black"
0 4 "black"
0 4.25 "white"
0 4.5 "white"
0 4.75 "white"
0 5 "white"
0 5.25 "white"
0 5.5 "white"
0 5.75 "white"
0 6 "white"
0.25 0 "white"
0.25 0.25 "white"
0.25 0.5 "white"
0.25 0.75 "white"
0.25 1 "white"
0.25 1.25 "white"
0.25 1.5 "white"
0.25 1.75 "white"
0.25 2 "white"
0.25 2.25 "black"
0.25 2.5 "black"
0.25 2.75 "black"
0.25 3 "black"
0.25 3.25 "black"
0.25 3.5 "black"
0.25 3.75 "black"
0.25 4 "white"
0.25 4.25 "white"
0.25 4.5 "white"
0.25 4.75 "white"
0.25 5 "white"
0.25 5.25 "white"
0.25 5.5 "white"
0.25 5.75 "white"
0.5 0 "white"
0.5 0.25 "white"
0.5 0.5 "white"
0.5 0.75 "white"
0.5 1 "white"
0.5 1.25 "white"
0.5 1.5 "white"
0.5 1.75 "white"
0.5 2 "white"
0.5 2.25 "black"
0.5 2.5 "black"
0.5 2.75 "black"
0.5 3 "black"
0.5 3.25 "black"
0.5 3.5 "black"
0.5 3.75 "black"
0.5 4 "white"
0.5 4.25 "white"
0.5 4.5 "white"
0.5 4.75 "white"
0.5 5 "white"
0.5 5.25 "white"
0.5 5.5 "white"
0.5 5.75 "white"
0.75 0 "white"
0.75 0.25 "white"
0.75 0.5 "white"
0.75 0.75 "white"
0.75 1 "white"
0.75 1.25 "white"
0.75 1.5 "white"
0.75 1.75 "white"
0.75 2 "white"
0.75 2.25 "white"
0.75 2.5 "black"
0.75 2.75 "black"
0.75 3 "black"
0.75 3.25 "black"
0.75 3.5 "black"
0.75 3.75 "white"
0.75 4 "white"
0.75 4.25 "white"
0.75 4.5 "white"
0.75 4.75 "white"
0.75 5 "white"
0.75 5.25 "white"
0.75 5.5 "white"
0.75 5.75 "white"
1 0 "white"
1 0.25 "white"
1 0.5 "white"
1 0.75 "white"
1 1 "white"
1 1.25 "white"
1 1.5 "white"
1 1.75 "white"
1 2 "white"
1 2.25 "white"
1 2.5 "white"
1 2.75 "white"
1 3 "black"
1 3.25 "white"
1 3.5 "white"
1 3.75 "white"
1 4 "white"
1 4.25 "white"
1 4.5 "white"
1 4.75 "white"
1 5 "white"
1 5.25 "white"
1 5.5 "white"
1 5.75 "white"
1.25 0 "white"
1.25 0.25 "white"
1.25 0.5 "white"
1.25 0.75 "white"
1.25 1 "white"
1.25 1.25 "white"
1.25 1.5 "white"
1.25 1.75 "white"
1.25 2 "white"
1.25 2.25 "white"
1.25 2.5 "white"
1.25 2.75 "white"
1.25 3 "white"
1.25 3.25 "white"
1.25 3.5 "white"
1.25 3.75 "white"
1.25 4 "white"
1.25 4.25 "white"
1.25 4.5 "white"
1.25 4.75 "white"
1.25 5 "white"
1.25 5.25 "white"
1.25 5.5 "white"
1.25 5.75 "white"
1.5 0 "white"
1.5 0.25 "white"
1.5 0.5 "white"
1.5 0.75 "white"
1.5 1 "white"
1.5 1.25 "white"
1.5 1.5 "white"
1.5 1.75 "white"
1.5 2 "white"
1.5 2.25 "white"
1.5 2.5 "white"
1.5 2.75 "white"
1.5 3 "white"
1.5 3.25 "white"
1.5 3.5 "white"
1.5 3.75 "white"
1.5 4 "white"
1.5 4.25 "white"
1.5 4.5 "white"
1.5 4.75 "white"
1.5 5 "white"
1.5 5.25 "white"
1.5 5.5 "white"
1.5 5.75 "white"
1.75 0 "white"
1.75 0.25 "white"
1.75 0.5 "white"
1.75 0.75 "white"
1.75 1 "white"
1.75 1.25 "white"
1.75 1.5 "white"
1.75 1.75 "white"
1.75 2 "white"
1.75 2.25 "white"
1.75 2.5 "white"
1.75 2.75 "white"
1.75 3 "white"
1.75 3.25 "white"
1.75 3.5 "white"
1.75 3.75 "white"
1.75 4 "white"
1.75 4.25 "white"
1.75 4.5 "white"
1.75 4.75 "white"
1.75 5 "white"
1.75 5.25 "white"
1.75 5.5 "white"
2 0 "white"
2 0.25 "white"
2 0.5 "white"
2 0.75 "white"
2 1 "white"
2 1.25 "white"
2 1.5 "white"
2 1.75 "white"
2 2 "white"
2 2.25 "white"
2 2.5 "white"
2 2.75 "white"
2 3 "white"
2 3.25 "white"
2 3.5 "white"
2 3.75 "white"
2 4 "white"
2 4.25 "white"
2 4.5 "white"
2 4.75 "white"
2 5 "white"
2 5.25 "white"
2 5.5 "white"
2.25 0 "white"
2.25 0.25 "white"
2.25 0.5 "white"
2.25 0.75 "white"
2.25 1 "white"
2.25 1.25 "white"
2.25 1.5 "white"
2.25 1.75 "white"
2.25 2 "white"
2.25 2.25 "white"
2.25 2.5 "white"
2.25 2.75 "white"
2.25 3 "white"
2.25 3.25 "white"
2.25 3.5 "white"
2.25 3.75 "white"
2.25 4 "white"
2.25 4.25 "white"
2.25 4.5 "white"
2.25 4.75 "white"
2.25 5 "white"
2.25 5.25 "white"
2.25 5.5 "white"
2.5 0 "white"
2.5 0.25 "white"
2.5 0.5 "white"
2.5 0.75 "white"
2.5 1 "white"
2.5 1.25 "white"
2.5 1.5 "white"
2.5 1.75 "white"
2.5 2 "white"
2.5 2.25 "white"
2.5 2.5 "white"
2.5 2.75 "white"
2.5 3 "white"
2.5 3.25 "white"
2.5 3.5 "white"
2.5 3.75 "white"
2.5 4 "white"
2.5 4.25 "white"
2.5 4.5 "white"
2.5 4.75 "white"
2.5 5 "white"
2.5 5.25 "white"
2.75 0 "white"
2.75 0.25 "white"
2.75 0.5 "white"
2.75 0.75 "white"
2.75 1 "white"
2.75 1.25 "white"
2.75 1.5 "white"
2.75 1.75 "white"
2.75 2 "white"
2.75 2.25 "white"
2.75 2.5 "white"
2.75 2.75 "white"
2.75 3 "white"
2.75 3.25 "white"
2.75 3.5 "white"
2.75 3.75 "white"
2.75 4 "white"
2.75 4.25 "white"
2.75 4.5 "white"
2.75 4.75 "white"
2.75 5 "white"
2.75 5.25 "white"
3 0 "white"
3 0.25 "white"
3 0.5 "white"
3 0.75 "white"
3 1 "white"
3 1.25 "white"
3 1.5 "white"
3 1.75 "white"
3 2 "white"
3 2.25 "white"
3 2.5 "white"
3 2.75 "white"
3 3 "white"
3 3.25 "white"
3 3.5 "white"
3 3.75 "white"
3 4 "white"
3 4.25 "white"
3 4.5 "white"
3 4.75 "white"
3 5 "white"
3.25 0 "white"
3.25 0.25 "white"
3.25 0.5 "white"
3.25 0.75 "white"
3.25 1 "white"
3.25 1.25 "white"
3.25 1.5 "white"
3.25 1.75 "white"
3.25 2 "white"
3.25 2.25 "white"
3.25 2.5 "white"
3.25 2.75 "white"
3.25 3 "white"
3.25 3.25 "white"
3.25 3.5 "white"
3.25 3.75 "white"
3.25 4 "white"
3.25 4.25 "white"
3.25 4.5 "white"
3.25 4.75 "white"
3.25 5 "white"
3.5 0 "white"
3.5 0.25 "white"
3.5 0.5 "white"
3.5 0.75 "white"
3.5 1 "white"
3.5 1.25 "white"
3.5 1.5 "white"
3.5 1.75 "white"
3.5 2 "white"
3.5 2.25 "white"
3.5 2.5 "white"
3.5 2.75 "white"
3.5 3 "white"
3.5 3.25 "white"
3.5 3.5 "white"
3.5 3.75 "white"
3.5 4 "white"
3.5 4.25 "white"
3.5 4.5 "white"
3.5 4.75 "white"
3.75 0 "white"
3.75 0.25 "white"
3.75 0.5 "white"
3.75 0.75 "white"
3.75 1 "white"
3.75 1.25 "white"
3.75 1.5 "white"
3.75 1.75 "white"
3.75 2 "white"
3.75 2.25 "white"
3.75 2.5 "white"
3.75 2.75 "white"
3.75 3 "white"
3.75 3.25 "white"
3.75 3.5 "white"
3.75 3.75 "white"
3.75 4 "white"
3.75 4.25 "white"
3.75 4.5 "white"
4 0 "white"
4 0.25 "white"
4 0.5 "white"
4 0.75 "white"
4 1 "white"
4 1.25 "white"
4 1.5 "white"
4 1.75 "white"
4 2 "white"
4 2.25 "white"
4 2.5 "white"
4 2.75 "white"
4 3 "white"
4 3.25 "white"
4 3.5 "white"
4 3.75 "white"
4 4 "white"
4 4.25 "white"
4.25 0 "white"
4.25 0.25 "white"
4.25 0.5 "white"
4.25 0.75 "white"
4.25 1 "white"
4.25 1.25 "white"
4.25 1.5 "white"
4.25 1.75 "white"
4.25 2 "white"
4.25 2.25 "white"
4.25 2.5 "white"
4.25 2.75 "white"
4.25 3 "white"
4.25 3.25 "white"
4.25 3.5 "white"
4.25 3.75 "white"
4.25 4 "white"
4.5 0 "white"
4.5 0.25 "white"
4.5 0.5 "white"
4.5 0.75 "white"
4.5 1 "white"
4.5 1.25 "white"
4.5 1.5 "white"
4.5 1.75 "white"
4.5 2 "white"
4.5 2.25 "white"
4.5 2.5 "white"
4.5 2.75 "white"
4.5 3 "white"
4.5 3.25 "white"
4.5 3.5 "white"
4.5 3.75 "white"
4.75 0 "white"
4.75 0.25 "white"
4.75 0.5 "white"
4.75 0.75 "white"
4.75 1 "white"
4.75 1.25 "white"
4.75 1.5 "white"
4.75 1.75 "white"
4.75 2 "white"
4.75 2.25 "white"
4.75 2.5 "white"
4.75 2.75 "white"
4.75 3 "white"
4.75 3.25 "white"
4.75 3.5 "white"
5 0 "white"
5 0.25 "white"
5 0.5 "white"
5 0.75 "white"
5 1 "white"
5 1.25 "white"
5 1.5 "white"
5 1.75 "white"
5 2 "white"
5 2.25 "white"
5 2.5 "white"
5 2.75 "white"
5 3 "white"
5 3.25 "white"
5.25 0 "white"
5.25 0.25 "white"
5.25 0.5 "white"
5.25 0.75 "white"
5.25 1 "white"
5.25 1.25 "white"
5.25 1.5 "white"
5.25 1.75 "white"
5.25 2 "white"
5.25 2.25 "white"
5.25 2.5 "white"
5.25 2.75 "white"
5.5 0 "white"
5.5 0.25 "white"
5.5 0.5 "white"
5.5 0.75 "white"
5.5 1 "white"
5.5 1.25 "white"
5.5 1.5 "white"
5.5 1.75 "white"
5.5 2 "white"
5.5 2.25 "white"
5.75 0 "white"
5.75 0.25 "white"
5.75 0.5 "white"
5.75 0.75 "white"
5.75 1 "white"
5.75 1.25 "white"
5.75 1.5 "white"
6 0 "white"
0 -0.25 "black"
0 -0.5 "black"
0 -0.75 "black"
0 -1 "black"
0 -1.25 "black"
0 -1.5 "black"
0 -1.75 "black"
0 -2 "white"
0 -2.25 "white"
0 -2.5 "white"
0 -2.75 "white"
0 -3 "white"
0 -3.25 "white"
0 -3.5 "white"
0 -3.75 "white"
0 -4 "white"
0 -4.25 "black"
0 -4.5 "black"
0 -4.75 "black"
0 -5 "black"
0 -5.25 "black"
0 -5.5 "black"
0 -5.75 "black"
0 -6 "black"
0.25 0 "white"
0.25 -0.25 "black"
0.25 -0.5 "black"
0.25 -0.75 "black"
0.25 -1 "black"
0.25 -1.25 "black"
0.25 -1.5 "black"
0.25 -1.75 "black"
0.25 -2 "black"
0.25 -2.25 "white"
0.25 -2.5 "white"
0.25 -2.75 "white"
0.25 -3 "white"
0.25 -3.25 "white"
0.25 -3.5 "white"
0.25 -3.75 "white"
0.25 -4 "black"
0.25 -4.25 "black"
0.25 -4.5 "black"
0.25 -4.75 "black"
0.25 -5 "black"
0.25 -5.25 "black"
0.25 -5.5 "black"
0.25 -5.75 "black"
0.5 0 "white"
0.5 -0.25 "black"
0.5 -0.5 "black"
0.5 -0.75 "black"
0.5 -1 "black"
0.5 -1.25 "black"
0.5 -1.5 "black"
0.5 -1.75 "black"
0.5 -2 "black"
0.5 -2.25 "white"
0.5 -2.5 "white"
0.5 -2.75 "white"
0.5 -3 "white"
0.5 -3.25 "white"
0.5 -3.5 "white"
0.5 -3.75 "white"
0.5 -4 "black"
0.5 -4.25 "black"
0.5 -4.5 "black"
0.5 -4.75 "black"
0.5 -5 "black"
0.5 -5.25 "black"
0.5 -5.5 "black"
0.5 -5.75 "black"
0.75 0 "white"
0.75 -0.25 "black"
0.75 -0.5 "black"
0.75 -0.75 "black"
0.75 -1 "black"
0.75 -1.25 "black"
0.75 -1.5 "black"
0.75 -1.75 "black"
0.75 -2 "black"
0.75 -2.25 "black"
0.75 -2.5 "white"
0.75 -2.75 "white"
0.75 -3 "white"
0.75 -3.25 "white"
0.75 -3.5 "white"
0.75 -3.75 "black"
0.75 -4 "black"
0.75 -4.25 "black"
0.75 -4.5 "black"
0.75 -4.75 "black"
0.75 -5 "black"
0.75 -5.25 "black"
0.75 -5.5 "black"
0.75 -5.75 "black"
1 0 "white"
1 -0.25 "black"
1 -0.5 "black"
1 -0.75 "black"
1 -1 "black"
1 -1.25 "black"
1 -1.5 "black"
1 -1.75 "black"
1 -2 "black"
1 -2.25 "black"
1 -2.5 "black"
1 -2.75 "black"
1 -3 "white"
1 -3.25 "black"
1 -3.5 "black"
1 -3.75 "black"
1 -4 "black"
1 -4.25 "black"
1 -4.5 "black"
1 -4.75 "black"
1 -5 "black"
1 -5.25 "black"
1 -5.5 "black"
1 -5.75 "black"
1.25 0 "white"
1.25 -0.25 "white"
1.25 -0.5 "black"
1.25 -0.75 "black"
1.25 -1 "black"
1.25 -1.25 "black"
1.25 -1.5 "black"
1.25 -1.75 "black"
1.25 -2 "black"
1.25 -2.25 "black"
1.25 -2.5 "black"
1.25 -2.75 "black"
1.25 -3 "black"
1.25 -3.25 "black"
1.25 -3.5 "black"
1.25 -3.75 "black"
1.25 -4 "black"
1.25 -4.25 "black"
1.25 -4.5 "black"
1.25 -4.75 "black"
1.25 -5 "black"
1.25 -5.25 "black"
1.25 -5.5 "black"
1.25 -5.75 "white"
1.5 0 "white"
1.5 -0.25 "white"
1.5 -0.5 "black"
1.5 -0.75 "black"
1.5 -1 "black"
1.5 -1.25 "black"
1.5 -1.5 "black"
1.5 -1.75 "black"
1.5 -2 "black"
1.5 -2.25 "black"
1.5 -2.5 "black"
1.5 -2.75 "black"
1.5 -3 "black"
1.5 -3.25 "black"
1.5 -3.5 "black"
1.5 -3.75 "black"
1.5 -4 "black"
1.5 -4.25 "black"
1.5 -4.5 "black"
1.5 -4.75 "black"
1.5 -5 "black"
1.5 -5.25 "black"
1.5 -5.5 "black"
1.5 -5.75 "white"
1.75 0 "white"
1.75 -0.25 "white"
1.75 -0.5 "white"
1.75 -0.75 "black"
1.75 -1 "black"
1.75 -1.25 "black"
1.75 -1.5 "black"
1.75 -1.75 "black"
1.75 -2 "black"
1.75 -2.25 "black"
1.75 -2.5 "black"
1.75 -2.75 "black"
1.75 -3 "black"
1.75 -3.25 "black"
1.75 -3.5 "black"
1.75 -3.75 "black"
1.75 -4 "black"
1.75 -4.25 "black"
1.75 -4.5 "black"
1.75 -4.75 "black"
1.75 -5 "black"
1.75 -5.25 "black"
1.75 -5.5 "white"
2 0 "white"
2 -0.25 "white"
2 -0.5 "white"
2 -0.75 "white"
2 -1 "black"
2 -1.25 "black"
2 -1.5 "black"
2 -1.75 "black"
2 -2 "black"
2 -2.25 "black"
2 -2.5 "black"
2 -2.75 "black"
2 -3 "black"
2 -3.25 "black"
2 -3.5 "black"
2 -3.75 "black"
2 -4 "black"
2 -4.25 "black"
2 -4.5 "black"
2 -4.75 "black"
2 -5 "black"
2 -5.25 "white"
2 -5.5 "white"
2.25 0 "white"
2.25 -0.25 "white"
2.25 -0.5 "white"
2.25 -0.75 "white"
2.25 -1 "white"
2.25 -1.25 "black"
2.25 -1.5 "black"
2.25 -1.75 "black"
2.25 -2 "black"
2.25 -2.25 "black"
2.25 -2.5 "black"
2.25 -2.75 "black"
2.25 -3 "black"
2.25 -3.25 "black"
2.25 -3.5 "black"
2.25 -3.75 "black"
2.25 -4 "black"
2.25 -4.25 "black"
2.25 -4.5 "black"
2.25 -4.75 "black"
2.25 -5 "white"
2.25 -5.25 "white"
2.25 -5.5 "white"
2.5 0 "white"
2.5 -0.25 "white"
2.5 -0.5 "white"
2.5 -0.75 "white"
2.5 -1 "white"
2.5 -1.25 "white"
2.5 -1.5 "black"
2.5 -1.75 "black"
2.5 -2 "black"
2.5 -2.25 "black"
2.5 -2.5 "black"
2.5 -2.75 "black"
2.5 -3 "black"
2.5 -3.25 "black"
2.5 -3.5 "black"
2.5 -3.75 "black"
2.5 -4 "black"
2.5 -4.25 "black"
2.5 -4.5 "black"
2.5 -4.75 "white"
2.5 -5 "white"
2.5 -5.25 "white"
2.75 0 "white"
2.75 -0.25 "white"
2.75 -0.5 "white"
2.75 -0.75 "white"
2.75 -1 "white"
2.75 -1.25 "white"
2.75 -1.5 "white"
2.75 -1.75 "white"
2.75 -2 "black"
